Comment,Sentiment
the kid wasnt front line when friend went out walking he stumbled across the toads doing their normal thing foraging the kid was out learning toadette knew that friend wasnt a danger to fishkind the movie drop subtext hints that like starship troopers the monsters werent the random violent one gruner started it likely by killing somemany of them and fishnapping a female member of their tribe to use as his own personal fleshlight peace was plenty possible and friend figured it out he just wasnt very smart as shown in the rest of the video all he had to do was offer them gruner at least at that point even at the beginning of the movie were set to think hes going to be attacked when they come knocking on his door but thats the director using our bias and expectation in monster movies they were curious sure and maybe marking the territory but they werent attackoriented until after friend got antsy i wonder if the tadpole gruner killed was his own,neutral
love my oled such a premium experience compared to the original,positive
still jamming to this in 2015 one of my all time favorite song,positive
great platform for auto crypto arbitrage but i think the speed in which btc is deposited to the coswift account can be increase,positive
currently watching as the quarantine period is in process and this helped me understand thank you for this amazing explanation 3 3,positive
i love how hangman could’ve been a typical cliche bad guy and he absolutely isn’t he’s cocky and arrogant in top gun because that’s what top gun brings out of young pilots their competitive nature once he’s on the aircraft carrier he is all business encouraging and ready to help i love that,positive
heisenberg also wrote what we observe is not nature in itself but nature exposed to our method of questioning,neutral
few year back i watched this video as a newbie student and it give me a motivation to pursue ai as my career now im writing my master thesis and will soon join a company as machine learning engineer revising this video feels so nostalgic thanks sethbling kudos d,positive
why did you choose our company because you are recruiting what can you bring to the company a new employee ,neutral
the film is set in jennings county indiana in 1862 jess birdwell gary cooper is a farmer and patriarch of the birdwell family whose quaker religion conflicts with his love for the worldly enjoyments of music and horse racing jesss wife eliza dorothy mcguire a quaker minister is deeply religious and steadfast in her refusal to engage in violence jesss daughter mattie phyllis love wants to remain a quaker but has fallen in love with dashing cavalry officer gard jordan peter mark richman a love that is against her mothers wishes jesss youngest child little jess richard eyer is a feisty child whose comical feud with his mothers pet goose causes her heartache jesss elder son josh anthony perkins is torn between his hatred of violence and a conviction that to protect his family he must join the home guard and fight the invaders enoch joel fluellen a runaway slave is a laborer on their farm his children are still enslaved in the south we are introduced to the family via its youngest member little jess who is forever at war with his mothers pet goose the story begins as an easygoing and humorous tale of quakers trying to maintain their faith as they go to meeting on first day sunday contrasted with the birdwells neighbor sam jordan robert middleton and other members of the nearby methodist church the mood shifts dramatically when the meeting is interrupted by a union officer who asks how the quaker men can stand by when their houses will be looted and their families terrorized by approaching confederate troops when confronted with the question of his being afraid to fight josh birdwell responds that it might be the case his honesty provokes the wrath of purdy a quaker elder who condemns people who dont believe as he does the film returns to its lighter tone as the quakers try to maintain their ways despite the temptations of amusements at a county fair and a new organ which jess buys over elizas opposition but one is always reminded that the confederate army is drawing closer on a business trip jess acquires a new horse from the widow hudspeth marjorie main and is finally able to defeat sam in their weekly horse race one day jess is cultivating his fields and notices an immense cloud of smoke on the horizon produced by the burning of buildings josh soon arrives and tells them the neighboring community has been reduced to ash and corpses josh believes that he must fight a conviction that threatens to destroy the family eliza tells him that by turning his back to their religion hes turning his back on her but jess sees things a different way josh finds himself on the front line of the battle to stop the advance of the raiders and only fires his gun when the man next to him is wounded meanwhile jess is reluctant to fight only picking up a rifle and riding off towards the fighting when the family horse gallops back to the farm riderless when confederates arrive at the farm with only eliza and the younger children present the family and the farm are saved when eliza greets them on the porch and welcomes them to take all the food and animals they want and feeds them in their kitchen as jess finds sam jordan dying he is bushwhacked by a reb he plays possum and when the confederate soldier approaches he struggles with him and takes away his gun but ultimately lets him go free and unhurt he then finds josh injured and brings him home each member of the family faces the question of whether it is ever right to engage in violence,neutral
hey you youre not alone god is always with you even though you might not see him no matter what youre going through hes right beside you loving you as much as youve never imagined 3,positive
watching this while working out so it can motivate me ,positive
essa música é muito louca,neutral
everytime i watch austin and his team i feel like theyre a bunch of nerds assembled i love it ,positive
se siente diferente cuando ves a thor sonreír después de endgame esto va a ser un peliculón ,positive
sterling hayden one of the greatest,positive
love to see the squad back together ,positive
maguire needs a standing ovation for staying out of this one my god a real captains performance for sure,positive
the fact that walter practically causes half the film’s problems yet it turns out in the end not to mention for all for the wrong reasons he was right about everything,negative
watching gabriel jesus in this team right now honestly puts such a huge smile on my face him and odegaard just fit so well together and the interplay between them and the wings is just so fun to watch finally happy watching arsenal play again,positive
this is a lecture it is really what my mind need at this point in my life thank you tedx and chris bailey,positive
045 เจนบอกไม่เจอกันมาประมาณ3ปี แต่ธอร์บอกว่า8ปี แสดงว่าเจนก็โดนดีดนิ้วให้หายไปแน่ๆ เพราะต่างกัน5ปีพอดีเลย,neutral
let me guess this is the bottom ajajaja george has been saying the same thing the past 1000 weeks ,neutral
3252 the reaction from the host is priceless dont agree with some of these opinions,neutral
to the person reading this even though i don’t know you i wish you the best of what life has to offer ,positive
somos obrigados ouvir a cnn pra saber o que a esquerda pensa é difícil engolir esses comentaristas tendenciosos,neutral
100 with you mate we my girlfriend and i are making moves to be able to solely focus our efforts during the bear market and have been liquidating our assets and in the coming weeks moving to a low risk low cost lower tax environment to be able to optimise all our efforts crypto and digital assets is the global revolution for man kind spiritually and culturally and our environment it sounds extreme and cultish but when on a precipice these extreme changes happen bitcoin is energy and economic jesus much love and thank you for the content,positive
didnt snoop and diddy just announce some joint badboydeath row collabo to bury all the beef from the past and spread love and now snoop just signed mase,neutral
sir i am a civil engineer and my age is 27 and i am going to canada on study visa and i opted for project management post graduate diploma basically i want to change my field to data science so i am planning to do my second pg diploma in big data analytics so on the basis of pg diploma can i switch my career to data science,neutral
i love how she always wears the same themed hair makeup and clothes i love it,positive
as a non american i have to say it’s pretty funny to finally watch donald get in bigboy trouble ,positive
i credit crash course with my success in bio105 when you cover 2 chapters a week and youre taking 15 credit hours4 classes total its pretty much hilariously impossible to actually grasp the material as you progress and really understand it,negative
sống thật với cảm xúc  chúc thuyền trưởng thành công trong tất cả lĩnh vực ,positive
jab baap se pala padta h tb bhagne k lia raste km pad jate,positive
希望music panda可以請到陳蕾同岑寧兒一齊上節目,neutral
i firmly believe the markets will either go up or down i will not charge you for this sound advice you’re welcome,positive
i’m impressed that the nature of plant roots changed so much today plant roots are considered to stabilize soil and reduce erosion i have never before heard of plants increasing erosion seems an unsound hypothesis,positive
thank you for this video you’re the first person to point out that bruce has childhood trauma in his past and jen doesn’t,positive
great content as always i really appreciate the broader perspective and that the information is provided in a calm and matter of fact fashion without sensationalism i get much more insight from this than “traditional media” but i really missed the usual intro,positive
this aint a youtube video this is a wholeass documentary kudos to sonny ali the community they visited here and the whole team behind the cameras,positive
bonjour ma belle je suis toutes vos vidéos je suis fière du travail énorme que vous faites en nous encourageant à devenir des entrepreneurs je voudrai me lancer dans ce genre de business commander une machine à glace une machine à popcorn une machine à barbe à papa et une machine à muffin je vis au gabon et suis gabonaise comme jai vu dernière fois une vidéo dans laquelle vous avez accopmpagner une dame à acheter des machines en chine jai été impressionnée et cela ma encourager à madresser à vous,neutral
lets just take a moment to appreciate how much effort he puts into making us want to jump off a cliff,positive
first time getting into watching the asmr gaming kinda videos been into asmr things for about 5years idk why i havent watched these sooner this was actually super enjoyable and entertaining to watch hell yea loved it,positive
i could have listened to more than an hour on this subject alone victorian literature is an enormously broad topic with writers as diverse as emily bronte and joseph conrad id love to see you do a more expanded version,positive
3229 let’s just appreciate how they always manage to put a smile on our faces whenever we feel negative ,positive
its unpredidented that a former president should be subjec to a search of his home yep and so was inciting an insurrection and failing to oversee a peaceful transfer of power hypocrits much,negative
love how hayes reviewed swtor saw the terrible tutorial then made a whole video breaking down an effective tutorial,positive
i already lost a lot of money recently trying to pursuit my dreams its frustrating and depressing but elon definitely gives me hope and determination he is a role model for me,positive
the best tutorial ive ever watched so far easy to understand and very clear you literally answered all my questions thank you so much,positive
tip 26 make sure to like subscribe for more awesome game dev videos okayso maybe that was less of a tip and more of a suggestion,positive
“if a woman wants a real good man and a respectable man she needs to look for a klansman” i have officially heard it all ,neutral
