Comment,Sentiment
ive learnt so much from youtube without it i wouldnt be who i am now but at the same time i know it distracts me from my goals and causes procrastination its such a double edged sword,neutral
không biết sau khi bất tử trong video này thì serie sau mình có bị ăn hành không đây ,negative
first time in my life that i had to prepare for an interview i’m 44 in a very competitive industry it felt like my last chance between you and other content creators i passed 3 hard interviews back to back and got the job thank you and everything you do,positive
the best chemistry lesson l have ever had much appreciated from zimbabwe,positive
about the download dlc video i think it’s more to explain how to download the dlc for free when you’re a nso member because i believe many people would think that you’d buy dlc in the eshop but there’s an option on the dlc page to download for free so the video is warranted… although it should’ve been published last year when nso launched ,neutral
i am always waiting to see your new videos the premiere option is great choice to do,positive
mari prathi recharge ki 2 rupees deniki dobbutunnaru,neutral
theme art combat everything looks so well crafted wish the story too holds up to make it an awesome game,positive
i lost in four moves to my 5 year old son once i felt very humbled and a bit foolish he was beaming with triumph at having defeated his dad at chess,positive
for those that want more in depth information on some of the subjects i talked about in this video here are some detailed videos i made 1 newtons law of universal gravitation 2 entropy 3 electromagnetism and the speed of light 4 special relativity 5 einsteins general relativity 6 quantum mechanics basics 7 extra credit 4 fundamental forces of nature,neutral
this man has gained another 2 million subscribers in just 12 days what an achievement,positive
i have watched vikram vedha on youtube in hindi last year i dont think saif can beat r madhwan in acting r madhwan surprised us in the end as he looks innocent throughout the whole movie but saif doesnt look innocent at all throughout the trailer r madhwans smile was enough to make vikram vedha a thriller movie,positive
z see 11,neutral
this is an amazing smooth intro to a relatively complicated topic the qr codes are a smart move hoping to see more videos on similar topics thank you both,positive
bihar me ba,neutral
love it ,positive
this guy can literally play any instruments he was awarded for being the youngest tabla player and tht was when he was 4 or something year old,positive
so pretty,positive
essa é top demais ,positive
yeah yeah the time and the cubes are very different but the one thing everyone neglects is the price,negative
we need to see what man can do to man children who were viewed as mentally deficient were wiped out by the nazi regime among others who didnt fit an aryan profile it happened then and can happen again so many atrocities still go on to this day,negative
happy sunday everyone after finishing my living room makeover to wanted to go over some common living room design mistakes i see and how to fix them i hope this gives you some tips and ideas you can apply in your living room,positive
cooking sim was bugged to hell for me two point campus was quite fun ,positive
i’m seriously impressed how scott can talk for over 2 hours and still keep it interesting even if i can’t watch it in 1 go i still come back to watch the whole thing,positive
im a first year cs student at a major german university and my current classes are introduction to programming computer architecture automata theory calculus and linear algebra i went into it not having a background in cs at all i really only went into it because i have a thing for logic and structure and i dont regret my decision at all at the beginning i was worried because i didnt know how to code at all and i had to put in some extra hours in the beginning compared to the kids who have been doing this since they were in infant but its totally possible,negative
im in cyber security doing vulnerability management but this is making me want to get deeper into data science i wish youtube had more entertaining and enthusiastic creators like tina ken luke in the cybersecurity field,positive
love those pocket operators never heard of them until this video and now ive done a ton of research on em lol would like to pick one up someday thanks for bringing this dope tech to our attention good sir,positive
personally i think you hit one key point the importance of domain experts with the socalled automation or new technology tools well likely see a shift to empower the domain experts and focus more on the business needs just because someones knows sql or do coding doesnt mean heshe can do data science or machine learning or more importantly to put out anything meaningful or even useful just like years ago people needed to rely heavily on someone who can do graphic design really well or who can use a handful of highskill tools say photoshop really well to even modify a picture or video these days even kids can snap a picture or video and publish to instagram or tiktok did the modern photo editing tools make graphic designer extinct no but it does mean that you need to be really good to be able to survive as a graphic designer i see the same future for data science field too maybe not tomorrow but the trend is coming for sure if you pay attention to some of the podcasts like me myself and ai most the guests chief data scientists or boss of ds departments arent really of these backgrounds but more business driven,neutral
appa mudilai paaaaa madam pavam ,positive
i would love to boot up my console and swap from battlefield to halo to spiderman to mario kart to pokémon within the same ecosystem but i just dont think something like that will happen unless there is a third party neutral console that has all the subscriptions for each major player on it,neutral
1518 إنتي فعلا أفدتينا جزاك الله كل خير من أفضل الفيديوهات اللي تكلمت عن الداتا ساينس وغطت جميع الجوانب بشكل كامل راح اخليه مرجع لي في رحلتي كل ماضيعت الطريق ارجع اشووفه مرة ثانية شكرا لك على جهدك الكبير في صناعة هذا اليديو,neutral
theory the reason why you saw a second karl might have something to do with abandoned cars like cristine karl is the first abandoned car and over time it withered and due to the desert heat its paint melted all over it making it all covered in blue paint and eventually a bunny accidently glitched in there and died and theyre soul got sucked in creating the first karl which then killed the player and over time the karl became more and more smart and even attained sentience and started converting other cars into karls and karrot and karla were his first ones which had a few problems which is why they are diffrent eventually karl found out about you and how many times you abandoned cristine and the last time you did he converted all of the old ones he kept on finding new ones not going back and getting them back and are now mad at you and your stupid sedan it also explains why he keeps coming back,neutral
i was never good at sports sis we all felt that,negative
i just recently discovered this genre and these channels helps me so much with stress and anxiety huge thanks to all involved artists and stay healthy you all,positive
this was a great stream it felt like the production quality had gone up a lot since the last marvel one and everyone played well i thought peter was a great addition to the stream he started a little quiet but really got into it,positive
thank you for this video i am taking thermodynamics 2 right now and this is honestly a great review of all the basic thermo ideas,positive
some notable timestamps 0154 key facts about the course 1147 background 3010 introductory examples 4049 about financial mathematics 5442 real life applications projects,neutral
this video is very helpful and consist a lot of information about literature jazakallah mam,positive
i have done ml course from upgrad but now when i see these videos they are amazing the professors had made it so easy to understand i regret why i didnt join great learning instead anyways thanks for sharing these videos please do share more videos great learning really have great professors also if there is any short term courses of 12 month which explain all these things in one place it would be great,positive
im from iraq,positive
your content is always so relaxing like literally i almost fell asleep after only one minute of this masterpiece i hope you know that we all rly appreciate you taking time out of ur day to make us happy love you so much ,positive
mad respect to john oliver and his team for not making us watch ads during the show major props,positive
when he said googling things every other minute i felt that,neutral
fyi for those of us who miss out on a sale by a few daysif an item goes on sale a few days after you bought it just call up customer service and politely ask for a partial refund gamestop is usually pretty good about giving you the difference in cost between what you paid and the current price of the console,neutral
if you need to study and you’re scrolling instead here’s your gentle reminder to get back to work you got this,positive
you don’t get to say stray is a racist game and have me take you seriously one of innumerable examples if people really are doing criminalinappropriate things at work then punish them accordingly but until someone with a shred of integrity reports it i will withhold judgement,negative
give me 25 cents every time he says now and ill be a millionaire,positive
some context for ya simplified so a group of people one day thought “we should make the worlds largest teddy” so in 2006 they began making and it took i think 5 years and they made a big teddy it eventually rotted because it was made of cotton and wool and now an outline remained with fluff,neutral
nice summary,positive
the airline realness here is out of this world the white china the way the food is plated the picture on the back wall its just outstanding,positive
merci boss  t’attends quel niveau de repli pour rempiler,positive
way to go for our president biden,positive
socks never fail to make my day if i had a bad one,positive
esta melodia la recuerdo mucho pues es cuando mi mejor hermano se quito la vida y ahora la canto n honor a el te amo hermano,neutral
this is amazing music for when doing homework to be honest and it gets you in a good mood,positive
great explanation building products vs discovering insights,positive
im polish and my comfort food is pierogi ruskie its dumplings with potato cheese and garlic filling boiled and then fried in bacon fat with crispy bits of bacon and sometimes caramelized onion sprinkled on top with a bit of butter for that extra creamy taste i can eat them by kilograms,positive
never knew filipino foods are so mouthwatering love from india,positive
this song give me summer vibes,positive
if hippos were carnivores that lit their prey on fire so all the nightmares at once,negative
omg this is my first time watching your video and i loved it its been a while i laughed like this in these days you are hilarious  lots of love ,positive
one of the thing about this dude is that he never takes credit for himself when he achieves something he always respects us the audience and his team and he is polite in all his videos we congratulate ourselves on this achievement more to come we are always with you,positive
the amount of innovation that goes into using all these random scraps and pieces and bringing them together into one beautiful piece of artwork is just mind blowing,positive
i knew he was saving this for the midterms,neutral
this is a happy video that relieves stress from the comfortable and beautiful sounds of nature the beautiful grass wind and even the smell of flowers thanks for uploading be healthy and happy today,positive
